ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL,Meta: _yoast_wpseo_title,Meta: _yoast_wpseo_metadesc,Meta: _yoast_wpseo_focuskw,Meta: _wc_average_rating,Meta: _wc_review_count,Meta: _wo_test_batch,Meta: _virtual,Meta: _downloadable
1011,simple,WO-CHAOS-SEASONING,0850001000116,Shape Study Pin Set,1,0,visible,"Enamel pins of circle, square, triangle, and bar.","Four small primary-shape pins for bags, jackets, aprons, or the corner of a corkboard.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,88,15,no,0,0.08,5,5,12,1,Packed flat by Bauhaus Press. Keep dry; keep square.,11.0,14.0,Shop > Forbidden Snacks,"stationery, bauhaus, primary-colors, studio",standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-chaos-seasoning.jpg,,,,,WO-FORBIDDEN-HONEY,WO-BOTTLED-MORNING,,,10,Brand,Bauhaus Press,1,1,,Net Weight,60g,1,0,,Heat Level,Varies,1,0,,,,,,Shape Study Pin Set | Bauhaus Press,"Shape Study Pin Set: Enamel pins of circle, square, triangle, and bar.",shape study pin set,4.7,134,2026-04-16-a,no,no
1012,simple,WO-HAUNTED-CANDLE,0850001000123,Blackline Ruler,1,0,visible,A 30cm ruler printed with strict black marks and a red registration dot.,"Beech ruler with a crisp ink scale, useful for layouts, parcels, and ceremonial straight lines.",,,taxable,,1,15,5,no,0,0.45,8,8,10,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,38.0,"Shop > Moods & Feelings, Shop > Curiosities","stationery, bauhaus, primary-colors, studio",standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-haunted-candle.jpg,,,,,WO-SILENCE-JAR,WO-FOG-IN-BOTTLE,,,11,Brand,Bauhaus Press,1,1,,Burn Time,~40hr,1,0,,Scent,Honey + implication,1,0,,,,,,Blackline Ruler | Bauhaus Press,Blackline Ruler: A 30cm ruler printed with strict black marks and a red registration dot.,blackline ruler,4.6,71,2026-04-16-a,no,no
1013,variable,WO-LEFT-SOCK,0850001000130,Desk Flag Set,1,1,visible,"Small paper flags for marking pages, proofs, and urgent margins.","A compact block of page flags in Bauhaus primaries, cut square and stacked tight.",,,taxable,,1,,3,no,0,0.12,15,10,3,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,29.0,"Shop > Curiosities, Shop > Moods & Feelings","stationery, bauhaus, primary-colors, studio",standard,"https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-left-sock.jpg, https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-portable-hole.jpg, https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-invisible-umbrella.jpg",,,,,"WO-INVISIBLE-UMBRELLA, WO-GENTLY-USED-LUCK",WO-DREAD-REPELLENT,,,12,Size,Small|Medium|Large|X-Large,1,1,Medium,Color,Moonlit Grey|Midnight Wool|Scarlet,1,1,Moonlit Grey,Brand,Bauhaus Press,1,1,,,,,,Desk Flag Set | Bauhaus Press,"Desk Flag Set: Small paper flags for marking pages, proofs, and urgent margins.",desk flag set,4.7,156,2026-04-16-a,no,no
1014,variation,WO-LEFT-SOCK-V1,,Left Sock of Destiny – Small / Moonlit Grey,1,0,visible,,"Variation of Left Sock of Destiny. Specific combination: Size: Small, Color: Moonlit Grey.",,,taxable,,1,12,3,no,0,0.12,15,10,3,0,,,29.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-left-sock.jpg,,,id:1013,,,,,,0,Size,Small,,,,Color,Moonlit Grey,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1015,variation,WO-LEFT-SOCK-V2,,Left Sock of Destiny – Medium / Moonlit Grey,1,0,visible,,"Variation of Left Sock of Destiny. Specific combination: Size: Medium, Color: Moonlit Grey.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,8,3,no,0,0.12,15,10,3,0,,24.0,29.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-left-sock.jpg,,,id:1013,,,,,,1,Size,Medium,,,,Color,Moonlit Grey,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1016,variation,WO-LEFT-SOCK-V3,,Left Sock of Destiny – Medium / Midnight Wool,1,0,visible,,"Variation of Left Sock of Destiny. Specific combination: Size: Medium, Color: Midnight Wool.",,,taxable,,1,3,3,no,0,0.12,15,10,3,0,,,32.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-left-sock.jpg,,,id:1013,,,,,,2,Size,Medium,,,,Color,Midnight Wool,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1017,variation,WO-LEFT-SOCK-V4,,Left Sock of Destiny – Large / Scarlet,1,0,visible,,"Variation of Left Sock of Destiny. Specific combination: Size: Large, Color: Scarlet.",,,taxable,,0,0,3,no,0,0.12,15,10,3,0,,,34.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-left-sock.jpg,,,id:1013,,,,,,3,Size,Large,,,,Color,Scarlet,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1018,variation,WO-LEFT-SOCK-V5,,Left Sock of Destiny – X-Large / Midnight Wool,1,0,visible,,"Variation of Left Sock of Destiny. Specific combination: Size: X-Large, Color: Midnight Wool.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,5,3,no,0,0.12,15,10,3,0,,29.0,36.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-left-sock.jpg,,,id:1013,,,,,,4,Size,X-Large,,,,Color,Midnight Wool,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1019,variable,WO-PORTABLE-HOLE,0850001000147,Circle Cutting Template,1,1,visible,"A cream drafting template for circles, arcs, and repeating dots.",Rigid template with black sizing marks and a red reference ring for quick layout work.,,,taxable,,1,,3,no,0,0.0,40,40,1,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,79.0,Shop > Impossibilities,"stationery, bauhaus, primary-colors, studio",standard,"https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-portable-hole.jpg, https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-invisible-umbrella.jpg, https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-handcrafted-echo.jpg",,,,,"WO-DISCOUNT-GRAVITY, WO-SPARE-TUESDAY",WO-MOON-DUST,,,13,Size,Small|Medium|Large,1,1,Medium,Color,Obsidian|Violet|Fathomless,1,1,Obsidian,Brand,Bauhaus Press,1,1,,,,,,Circle Cutting Template | Bauhaus Press,"Circle Cutting Template: A cream drafting template for circles, arcs, and repeating dots.",circle cutting template,4.9,344,2026-04-16-a,no,no
1020,variation,WO-PORTABLE-HOLE-V1,,Portable Hole – Small / Obsidian,1,0,visible,,"Variation of Portable Hole. Specific combination: Size: Small, Color: Obsidian.",,,taxable,,1,15,3,no,0,0.0,40,40,1,0,,,79.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-portable-hole.jpg,,,id:1019,,,,,,0,Size,Small,,,,Color,Obsidian,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1021,variation,WO-PORTABLE-HOLE-V2,,Portable Hole – Medium / Obsidian,1,0,visible,,"Variation of Portable Hole. Specific combination: Size: Medium, Color: Obsidian.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,8,3,no,0,0.0,40,40,1,0,,99.0,129.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-portable-hole.jpg,,,id:1019,,,,,,1,Size,Medium,,,,Color,Obsidian,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1022,variation,WO-PORTABLE-HOLE-V3,,Portable Hole – Medium / Violet,1,0,visible,,"Variation of Portable Hole. Specific combination: Size: Medium, Color: Violet.",,,taxable,,1,4,3,no,0,0.0,40,40,1,0,,,139.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-portable-hole.jpg,,,id:1019,,,,,,2,Size,Medium,,,,Color,Violet,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1023,variation,WO-PORTABLE-HOLE-V4,,Portable Hole – Large / Fathomless,1,0,visible,,"Variation of Portable Hole. Specific combination: Size: Large, Color: Fathomless.",,,taxable,,1,1,3,no,0,0.0,40,40,1,0,,,249.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-portable-hole.jpg,,,id:1019,,,,,,3,Size,Large,,,,Color,Fathomless,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1024,variation,WO-PORTABLE-HOLE-V5,,Portable Hole – Large / Obsidian,1,0,visible,,"Variation of Portable Hole. Specific combination: Size: Large, Color: Obsidian.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,0,3,notify,0,0.0,40,40,1,0,,179.0,229.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-portable-hole.jpg,,,id:1019,,,,,,4,Size,Large,,,,Color,Obsidian,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1025,variable,WO-INVISIBLE-UMBRELLA,0850001000154,Blue Triangle Clips,1,0,visible,Desk clips cut into blue triangular tabs.,A set of folded metal clips that mark pages without apologising for being seen.,,,taxable,,1,,5,no,0,0.45,90,6,6,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,56.0,"Shop > Curiosities, Shop > Impossibilities","stationery, bauhaus, primary-colors, studio",standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-invisible-umbrella.jpg,,,,,WO-FOG-IN-BOTTLE,WO-LEFT-SOCK,,,14,Size,Compact|Standard|Golf,1,1,Standard,Color,Invisible|Also Invisible,1,1,Invisible,Brand,Bauhaus Press,1,1,,,,,,Blue Triangle Clips | Bauhaus Press,Blue Triangle Clips: Desk clips cut into blue triangular tabs.,blue triangle clips,3.9,42,2026-04-16-a,no,no
1026,variation,WO-INVISIBLE-UMBRELLA-V1,,Invisible Umbrella – Compact / Invisible,1,0,visible,,"Variation of Invisible Umbrella. Specific combination: Size: Compact, Color: Invisible.",,,taxable,,1,20,3,no,0,0.45,90,6,6,0,,,56.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-invisible-umbrella.jpg,,,id:1025,,,,,,0,Size,Compact,,,,Color,Invisible,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1027,variation,WO-INVISIBLE-UMBRELLA-V2,,Invisible Umbrella – Standard / Invisible,1,0,visible,,"Variation of Invisible Umbrella. Specific combination: Size: Standard, Color: Invisible.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,14,3,no,0,0.45,90,6,6,0,,58.0,72.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-invisible-umbrella.jpg,,,id:1025,,,,,,1,Size,Standard,,,,Color,Invisible,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1028,variation,WO-INVISIBLE-UMBRELLA-V3,,Invisible Umbrella – Golf / Also Invisible,1,0,visible,,"Variation of Invisible Umbrella. Specific combination: Size: Golf, Color: Also Invisible.",,,taxable,,1,3,3,no,0,0.45,90,6,6,0,,,98.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-invisible-umbrella.jpg,,,id:1025,,,,,,2,Size,Golf,,,,Color,Also Invisible,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1029,variable,WO-HANDCRAFTED-ECHO,0850001000161,Studio Tape Trio,1,0,visible,"Paper tapes in red, yellow, and blue for binding packages and mockups.",Three matte paper tapes with a dry finish and enough tack for studio walls and parcel seams.,,,taxable,,1,,5,no,0,0.3,9,9,6,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,65.0,"Shop > Curiosities, Shop > Moods & Feelings","stationery, bauhaus, primary-colors, studio",standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-handcrafted-echo.jpg,,,,,WO-SILENCE-JAR,WO-DREAD-REPELLENT,,,15,Canyon Type,Shallow|Deep|Desert|Mountain,1,1,Deep,Delay,0.5s|1.0s|2.0s,1,1,1.0s,Brand,Bauhaus Press,1,1,,,,,,Studio Tape Trio | Bauhaus Press,"Studio Tape Trio: Paper tapes in red, yellow, and blue for binding packages and mockups.",studio tape trio,4.4,22,2026-04-16-a,no,no
1030,variation,WO-HANDCRAFTED-ECHO-V1,,Handcrafted Echo – Shallow / 0.5s,1,0,visible,,"Variation of Handcrafted Echo. Specific combination: Canyon Type: Shallow, Delay: 0.5s.",,,taxable,,1,10,3,no,0,0.3,9,9,6,0,,,65.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-handcrafted-echo.jpg,,,id:1029,,,,,,0,Canyon Type,Shallow,,,,Delay,0.5s,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1031,variation,WO-HANDCRAFTED-ECHO-V2,,Handcrafted Echo – Deep / 1.0s,1,0,visible,,"Variation of Handcrafted Echo. Specific combination: Canyon Type: Deep, Delay: 1.0s.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,6,3,no,0,0.3,9,9,6,0,,59.0,75.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-handcrafted-echo.jpg,,,id:1029,,,,,,1,Canyon Type,Deep,,,,Delay,1.0s,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1032,variation,WO-HANDCRAFTED-ECHO-V3,,Handcrafted Echo – Desert / 2.0s,1,0,visible,,"Variation of Handcrafted Echo. Specific combination: Canyon Type: Desert, Delay: 2.0s.",,,taxable,,1,2,3,no,0,0.3,9,9,6,0,,,89.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-handcrafted-echo.jpg,,,id:1029,,,,,,2,Canyon Type,Desert,,,,Delay,2.0s,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1033,variation,WO-HANDCRAFTED-ECHO-V4,,Handcrafted Echo – Mountain / 2.0s,1,0,visible,,"Variation of Handcrafted Echo. Specific combination: Canyon Type: Mountain, Delay: 2.0s.",,,taxable,,0,0,3,no,0,0.3,9,9,6,0,,,95.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-handcrafted-echo.jpg,,,id:1029,,,,,,3,Canyon Type,Mountain,,,,Delay,2.0s,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
